exp,tf,study,cell,own_logfc,in_filtered_279,masked_frac,masked_sym_frac,base_rate10,base_rate10_sym,n_within_study_mates,n_same_cell_other_study_mates,in_106
DataSet_01_342,KLF7,GSE94470,HCE,-1.84779,True,0.4830287206266319,0.4869451697127937,0.05303867403314917,0.04861878453038674,1,1,True
DataSet_01_343,RUNX1,GSE94835,MV4-11,-0.044,False,0.21148825065274152,0.49738903394255873,0.0757238307349666,0.08240534521158129,0,0,False
DataSet_01_344,RUNX1,GSE98748,MV4-11,-0.11793,False,0.3002610966057441,0.5822454308093995,0.0757238307349666,0.08240534521158129,0,0,False
DataSet_01_345,ARID1A,GSE86572,iEEC16,-0.266,False,0.07571801566579635,0.21409921671018275,0.07547169811320754,0.07880133185349611,0,0,False
DataSet_01_346,TCF7L1,GSE92446,HCT116,-0.47957,False,0.49216710182767626,0.839425587467363,0.10165745856353592,0.045303867403314914,0,6,False
DataSet_01_347,GATA3,GSE76581,OEC-M1,-1.49625,True,0.8093994778067886,0.6462140992167101,0.07982261640798226,0.06541019955654102,1,0,False
DataSet_01_348,HIF1A,GSE76581,OEC-M1,-2.45837,True,0.0013054830287206266,0.0013054830287206266,0.19577308120133483,0.19799777530589543,1,0,False
DataSet_01_349,SOX2,GSE51441,HF2303,-1.66135,True,0.013054830287206266,0.0195822454308094,0.07700892857142858,0.07700892857142858,0,0,False
DataSet_01_350,SOX2,GSE67993,Undifferentiated hESCs,-0.91185,False,0.412532637075718,0.30548302872062666,0.07700892857142858,0.07700892857142858,0,0,False
DataSet_01_351,SMAD2,GSE8464,BxPC-3,-0.8477,False,0.737597911227154,0.8642297650130548,0.10520487264673312,0.11074197120708748,1,0,False
DataSet_01_352,SMAD3,GSE8464,BxPC-3,-0.72227,False,0.7859007832898173,0.6214099216710183,0.12375690607734807,0.11160220994475138,1,0,False
DataSet_01_353,ZNF24,GSE14273,HEK293,-0.52233,False,0.06266318537859007,0.11096605744125326,0.13245033112582782,0.1445916114790287,0,5,False
DataSet_01_354,ELK1,GSE18849,MDA-MB231,-1.46354,True,0.5248041775456919,0.47389033942558745,0.15248618784530388,0.12154696132596685,1,6,True
DataSet_01_355,NFYA,GSE18849,MDA-MB231,-0.44441,False,0.21409921671018275,0.23237597911227154,0.17849223946784923,0.19401330376940132,1,6,True
DataSet_01_356,ETV4,GSE21209,PC3,-1.64145,True,0.9138381201044387,0.9712793733681462,0.12693156732891833,0.09050772626931568,0,5,False
DataSet_01_357,CDX2,GSE30181,COLO320,-1.29555,True,0.7493472584856397,0.6984334203655352,0.08167770419426049,0.09161147902869757,0,0,False
DataSet_01_358,HOXA10,GSE35801,Endometrial stromal cells,0.0,False,0.21279373368146215,0.1409921671018277,0.11479028697571744,0.10816777041942605,0,2,False
DataSet_01_359,PAX3,GSE35862,Rh30,-0.23075,False,0.07963446475195822,0.031331592689295036,0.11406423034330011,0.11406423034330011,0,0,False
DataSet_01_360,SOX17,GSE37395,HUVEC,-1.7728,True,0.3328981723237598,0.2519582245430809,0.143646408839779,0.13812154696132597,0,9,False
DataSet_01_361,RUNX2,GSE46477,SKOV3,0.09301,False,0.7545691906005222,0.7467362924281984,0.15248618784530388,0.16464088397790055,0,3,False
DataSet_01_363,GRHL2,GSE90132,A2780s,0.07649,False,0.4073107049608355,0.31462140992167104,0.10619469026548672,0.10730088495575221,0,0,False
DataSet_01_364,GRHL2,GSE90132,SKOV3,-0.03762,False,0.10052219321148825,0.13446475195822455,0.10619469026548672,0.10730088495575221,0,3,False
DataSet_02_005,CEBPZ,ENCSR637EFF,K562,-0.39931,False,0.06135770234986945,0.20365535248041775,0.07751937984496124,0.08637873754152824,0,185,False
DataSet_02_015,HOXB9,ENCSR810RIC,K562,-1.13412,True,0.19973890339425587,0.185378590078329,0.09271523178807947,0.11920529801324503,0,186,False
DataSet_02_016,JUND,ENCSR389OCD,K562,-1.25221,True,0.024804177545691905,0.037859007832898174,0.15486725663716813,0.1515486725663717,0,186,False
DataSet_02_017,BACH1,ENCSR190RZZ,K562,0.0,False,0.8537859007832899,0.8942558746736292,0.17940199335548174,0.2059800664451827,0,185,False
DataSet_02_018,STAT2,ENCSR469EFL,K562,-1.70754,True,0.07571801566579635,0.13446475195822455,0.17439293598233996,0.1534216335540839,0,186,False
DataSet_02_019,NR2F2,ENCSR688UTN,K562,-0.60648,False,0.4177545691906005,0.2245430809399478,0.08888888888888889,0.09777777777777778,0,186,False
